DIP:257E	DIP:262N		SWP:P38930	PIR:A54907	GI:6324613	DIP:1038N		SWP:P19454	PIR:TVBY2A	GI:6324635
DIP:258E	DIP:262N		SWP:P38930	PIR:A54907	GI:6324613	DIP:262N		SWP:P38930	PIR:A54907	GI:6324613
DIP:264E	DIP:938N		SWP:P53540	PIR:S59262	GI:6324203	DIP:821N		SWP:P53378	PIR:S48563	GI:626449
DIP:265E	DIP:826N		SWP:P38863	PIR:S48911	GI:6321966	DIP:821N		SWP:P53378	PIR:S48563	GI:626449
DIP:266E	DIP:826N		SWP:P38863	PIR:S48911	GI:6321966	DIP:938N		SWP:P53540	PIR:S59262	GI:6324203
DIP:267E	DIP:938N		SWP:P53540	PIR:S59262	GI:6324203	DIP:702N		SWP:P32380	PIR:S26710	GI:283221
DIP:268E	DIP:826N		SWP:P38863	PIR:S48911	GI:6321966	DIP:702N		SWP:P32380	PIR:S26710	GI:283221
DIP:318E	DIP:411N		SWP:P12398	PIR:HHBYS1	GI:72217	DIP:2N			PIR:A23003	GI:83621
DIP:319E	DIP:742N		SWP:P07149	PIR:S34688	GI:422141	DIP:960N		SWP:P19097	PIR:S61703	GI:2117716
DIP:322E	DIP:44N		SWP:P13393	PIR:A30366	GI:6320996	DIP:51N		SWP:P09086	PIR:A31753	GI:2119742
DIP:329E	DIP:824N		SWP:P33304	PIR:S48772	GI:630102	DIP:853N		SWP:P32468	PIR:S50870	GI:1077056
DIP:332E	DIP:210N		SWP:P33520	PIR:A45777	GI:422059	DIP:673N		SWP:P25342	PIR:S19441	GI:82929
DIP:333E	DIP:943N			PIR:S59425	GI:1363777	DIP:943N			PIR:S59425	GI:1363777
DIP:334E	DIP:689N		SWP:P32524	PIR:S23553	GI:280467	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:335E	DIP:651N		SWP:P19736	PIR:S12320	GI:83435	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:336E	DIP:651N		SWP:P19736	PIR:S12320	GI:83435	DIP:651N		SWP:P19736	PIR:S12320	GI:83435
DIP:337E	DIP:689N		SWP:P32524	PIR:S23553	GI:280467	DIP:651N		SWP:P19736	PIR:S12320	GI:83435
